team,name,position,number
TUR,Abdulkerim Bardakci,Defender,
TUR,Ozan Kabak,Defender,
TUR,Ismail Yuksek,Midfielder,
TUR,Irfan Kahveci,Forward,
TUR,Mert Muldur,Defender,
TUR,Yunus Akgun,Forward,
TUR,Ferdi Kadioglu,Defender,
TUR,Baris Yilmaz,Forward,
TUR,Kaan Ayhan,Midfielder,
TUR,Ugurcan Cakir,Goalkeeper,
TUR,Oguz Aydin,Forward,
TUR,Samet Akaydin,Defender,
TUR,Can Uzun,Forward,
URU,Sergio Rochet,Goalkeeper,
URU,Jose Gimenez,Defender,
URU,Sebastian Caceres,Defender,
URU,Ronald Araujo,Defender,
URU,Manuel Ugarte,Midfielder,
URU,Rodrigo Bentancur,Midfielder,
URU,Nicolas De La Cruz,Midfielder,
URU,Federico Valverde,Midfielder,
URU,Darwin Nunez,Forward,
URU,Giorgian De Arrascaeta,Midfielder,
URU,Facundo Pellistri,Forward,
URU,Santiago Mele,Goalkeeper,
URU,Guillermo Varela,Defender,
URU,Agustin Canobbio,Midfielder,
URU,Emiliano Martinez,Midfielder,
URU,Mathias Olivera,Defender,
URU,Matias Vina,Defender,
URU,Brian Rodriguez,Forward,
URU,Rodrigo Aguirre,Forward,
URU,Maxi Araujo,Midfielder,
URU,Federico Vinas,Forward,
URU,Joaquin Piquerez,Midfielder,
URU,Fernando Muslera,Goalkeeper,
URU,Santiago Bueno,Defender,
URU,Juan Sanabria,Midfielder,
URU,Rodrigo Zalazar,Midfielder,
USA,Matt Turner,Goalkeeper,
USA,Sergino Dest,Defender,
USA,Chris Richards,Defender,
USA,Tyler Adams,Midfielder,
USA,Antonee Robinson,Defender,
USA,Auston Trusty,Defender,
USA,Giovanni Reyna,Midfielder,
USA,Weston McKennie,Midfielder,
USA,Ricardo Pepi,Forward,
USA,Christian Pulisic,Forward,
USA,Brenden Aaronson,Forward,
USA,Miles Robinson,Defender,
USA,Tim Ream,Defender,
USA,Sebastian Berhalter,Midfielder,
USA,Cristian Roldan,Midfielder,
USA,Alex Freeman,Defender,
USA,Malik Tillman,Midfielder,
USA,Max Arfsten,Defender,
USA,Haji Wright,Forward,
USA,Folarin Balogun,Forward,
USA,Timothy Weah,Forward,
USA,Mark McKenzie,Defender,
USA,Joe Scally,Defender,
USA,Matt Freese,Goalkeeper,
USA,Chris Brady,Goalkeeper,
USA,Alex Zendejas,Forward,
UZB,Utkir Yusupov,Goalkeeper,
UZB,Abdukodir Khusanov,Defender,
UZB,Khojiakbar Alijonov,Defender,
UZB,Farrukh Sayfiev,Defender,
UZB,Rustam Ashurmatov,Defender,
UZB,Akmal Mozgovoy,Midfielder,
UZB,Otabek Shukurov,Midfielder,
UZB,Jamshid Iskanderov,Midfielder,
UZB,Odiljon Xamrobekov,Midfielder,
UZB,Jaloliddin Masharipov,Midfielder,
UZB,Oston Urunov,Midfielder,
UZB,Abduvohid Nematov,Goalkeeper,
UZB,Sherzod Nasrullaev,Defender,
UZB,Eldor Shomurodov,Forward,
UZB,Umar Eshmurodov,Defender,
UZB,Botirali Ergashev,Goalkeeper,
UZB,Dostonbek Khamdamov,Midfielder,
UZB,Abdulla Abdullaev,Defender,
UZB,Azizjon Ganiev,Midfielder,
UZB,Azizbek Amonov,Forward,
UZB,Igor Sergeev,Forward,
UZB,Abbosbek Fayzullaev,Midfielder,
UZB,Sherzod Esanov,Midfielder,
UZB,Behruzjon Karimov,Defender,
UZB,Avazbek Ulmasaliyev,Defender,
UZB,Jakhongir Urozov,Defender,
